"YEAR","Total.AF","NM_Export_outsidesystem_AF","MONTH","Total.AF.monthly","NM_Export_outsidesystem_AF.monthly","Total.km3.monthly","NM_Export_outsidesystem_km3_monthly","Total.km3.monthly.excluding.NM.Export","DATE"
2018,4537676.624,33896.2,10,379320.438762379,2833.5032488594,0.467884174804619,0.00349506958740309,0.464389105217216,2018-10-01
2018,4537676.624,33896.2,11,288696.447874641,2156.546917577,0.356101294524412,0.00266005749189288,0.353441237032519,2018-11-01
2018,4537676.624,33896.2,12,254681.996675077,1902.4607989998,0.314145149258774,0.00234664734635027,0.311798501912424,2018-12-01
2019,4620141.64,137520.5,1,253306.78700359,7539.785295874,0.312448855633188,0.00930017436675466,0.303148681266433,2019-01-01
2019,4620141.64,137520.5,2,233952.052684169,6963.68331711,0.288575177944869,0.00858956409798884,0.27998561384688,2019-02-01
2019,4620141.64,137520.5,3,313459.035255201,9330.242797018,0.386645450806586,0.0115086678852658,0.37513678292132,2019-03-01
2019,4620141.64,137520.5,4,359606.904213594,10703.853934423,0.443567924209384,0.0132029897510321,0.430364934458352,2019-04-01
2019,4620141.64,137520.5,5,465084.211158647,13843.431272086,0.573672072779968,0.0170755956054926,0.556596477174475,2019-05-01
2019,4620141.64,137520.5,6,512274.0375604,15248.0567202535,0.631879779850003,0.0188081730032983,0.613071606846704,2019-06-01
2019,4620141.64,137520.5,7,555076.900870724,16522.102328056,0.684676255686021,0.0203796827796105,0.664296572906411,2019-07-01
2019,4620141.64,137520.5,8,537243.754758738,15991.291075721,0.662679426619808,0.0197249377160803,0.642954488903727,2019-08-01
2019,4620141.64,137520.5,9,450670.496556407,13414.400867088,0.555893044092397,0.0165463951815357,0.539346648910861,2019-09-01
2019,4620141.64,137520.5,10,386213.981128581,11495.8250050085,0.476387221442482,0.0141798702271779,0.462207351215304,2019-10-01
2019,4620141.64,137520.5,11,293943.044132119,8749.3409402425,0.362572866076087,0.0107921370629703,0.351780729013116,2019-11-01
2019,4620141.64,137520.5,12,259310.43467783,7718.4864471195,0.319854234966409,0.00952059866279296,0.310333636303616,2019-12-01
